OTUID	Kingdom	Phylum	Class	Order	Family	Genus
OTU100	d_Bacteria	p_Acidobacteriota	c_Subgroup_22	o_norank_c_Subgroup_22	f_norank_o_norank_c_Subgroup_22	g_norank_f_norank_o_norank_c_Subgroup_22
OTU1000	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Bacteroidales	f_Prolixibacteraceae	g_Roseimarinus
OTU1003	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	f_Flavobacteriaceae	g_Flavobacterium
OTU1004	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	f_Crocinitomicaceae	g_Fluviicola
OTU1006	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Opitutales	f_Puniceicoccaceae	g_Verruc-01
OTU1007	d_Bacteria	p_Myxococcota	c_Polyangia	o_Haliangiales	f_Haliangiaceae	g_Haliangium
OTU101	d_Bacteria	p_Nitrospinota	c_P9X2b3D02	o_norank_c_P9X2b3D02	f_norank_o_norank_c_P9X2b3D02	g_norank_f_norank_o_norank_c_P9X2b3D02
OTU1011	d_Bacteria	p_Myxococcota	c_Polyangia	o_unclassified_c_Polyangia	f_unclassified_c_Polyangia	g_unclassified_c_Polyangia
OTU1012	d_Bacteria	p_Verrucomicrobiota	c_Kiritimatiellae	o_WCHB1-41	f_norank_o_WCHB1-41	g_norank_f_norank_o_WCHB1-41
OTU1013	d_Bacteria	p_unclassified_k_norank_d_Bacteria	c_unclassified_k_norank_d_Bacteria	o_unclassified_k_norank_d_Bacteria	f_unclassified_k_norank_d_Bacteria	g_unclassified_k_norank_d_Bacteria
OTU1024	d_Bacteria	p_Planctomycetota	c_Pla4_lineage	o_norank_c_Pla4_lineage	f_norank_o_norank_c_Pla4_lineage	g_norank_f_norank_o_norank_c_Pla4_lineage
OTU1025	d_Bacteria	p_Latescibacterota	c_norank_p_Latescibacterota	o_norank_c_norank_p_Latescibacterota	f_norank_o_norank_c_norank_p_Latescibacterota	g_norank_f_norank_o_norank_c_norank_p_Latescibacterota
OTU1028	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Steroidobacterales	f_Woeseiaceae	g_Woeseia
OTU1029	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Thiotrichales	f_Thiotrichaceae	g_norank_f_Thiotrichaceae
OTU103	d_Bacteria	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	f_Desulfocapsaceae	g_unclassified_f_Desulfocapsaceae
OTU1030	d_Bacteria	p_Spirochaetota	c_Spirochaetia	o_Spirochaetales	f_Spirochaetaceae	g_Spirochaeta
OTU1031	d_Bacteria	p_Myxococcota	c_Polyangia	o_unclassified_c_Polyangia	f_unclassified_c_Polyangia	g_unclassified_c_Polyangia
OTU1036	d_Bacteria	p_Spirochaetota	c_Spirochaetia	o_Spirochaetales	f_Spirochaetaceae	g_Spirochaeta_2
OTU1039	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_Rubritaleaceae	g_Persicirhabdus
OTU104	d_Bacteria	p_unclassified_k_norank_d_Bacteria	c_unclassified_k_norank_d_Bacteria	o_unclassified_k_norank_d_Bacteria	f_unclassified_k_norank_d_Bacteria	g_unclassified_k_norank_d_Bacteria
OTU1040	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_unclassified_c_Gammaproteobacteria	f_unclassified_c_Gammaproteobacteria	g_unclassified_c_Gammaproteobacteria
OTU1043	d_Bacteria	p_Gemmatimonadota	c_BD2-11_terrestrial_group	o_norank_c_BD2-11_terrestrial_group	f_norank_o_norank_c_BD2-11_terrestrial_group	g_norank_f_norank_o_norank_c_BD2-11_terrestrial_group
OTU1050	d_Bacteria	p_Zixibacteria	c_norank_p_Zixibacteria	o_norank_c_norank_p_Zixibacteria	f_norank_o_norank_c_norank_p_Zixibacteria	g_norank_f_norank_o_norank_c_norank_p_Zixibacteria
OTU1051	d_Bacteria	p_Acidobacteriota	c_Vicinamibacteria	o_Subgroup_17	f_norank_o_Subgroup_17	g_norank_f_norank_o_Subgroup_17
OTU1052	d_Bacteria	p_Acidobacteriota	c_Aminicenantia	o_Aminicenantales	f_norank_o_Aminicenantales	g_norank_f_norank_o_Aminicenantales
OTU1054	d_Bacteria	p_Acetothermia	c_Acetothermiia	o_norank_c_Acetothermiia	f_norank_o_norank_c_Acetothermiia	g_norank_f_norank_o_norank_c_Acetothermiia
OTU1055	d_Bacteria	p_Myxococcota	c_Myxococcia	o_Myxococcales	f_Myxococcaceae	g_P3OB-42
OTU1056	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Thiotrichales	f_Thiotrichaceae	g_norank_f_Thiotrichaceae
OTU1067	d_Bacteria	p_Latescibacterota	c_norank_p_Latescibacterota	o_norank_c_norank_p_Latescibacterota	f_norank_o_norank_c_norank_p_Latescibacterota	g_norank_f_norank_o_norank_c_norank_p_Latescibacterota
OTU1068	d_Bacteria	p_Acidobacteriota	c_Subgroup_22	o_norank_c_Subgroup_22	f_norank_o_norank_c_Subgroup_22	g_norank_f_norank_o_norank_c_Subgroup_22
OTU107	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfobacteraceae	g_norank_f_Desulfobacteraceae
OTU1072	d_Bacteria	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	f_Desulfobulbaceae	g_Desulfobulbus
OTU1074	d_Bacteria	p_Myxococcota	c_Polyangia	o_UASB-TL25	f_norank_o_UASB-TL25	g_norank_f_norank_o_UASB-TL25
OTU1076	d_Bacteria	p_Sva0485	c_norank_p_Sva0485	o_norank_c_norank_p_Sva0485	f_norank_o_norank_c_norank_p_Sva0485	g_norank_f_norank_o_norank_c_norank_p_Sva0485
OTU1077	d_Bacteria	p_Desulfobacterota	c_Desulfuromonadia	o_PB19	f_norank_o_PB19	g_norank_f_norank_o_PB19
OTU108	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfosarcinaceae	g_SEEP-SRB1
OTU1080	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	f_Flavobacteriaceae	g_norank_f_Flavobacteriaceae
OTU1082	d_Bacteria	p_Verrucomicrobiota	c_Kiritimatiellae	o_113B434	f_norank_o_113B434	g_norank_f_norank_o_113B434
OTU1086	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_DEV007	g_norank_f_DEV007
OTU1089	d_Bacteria	p_unclassified_k_norank_d_Bacteria	c_unclassified_k_norank_d_Bacteria	o_unclassified_k_norank_d_Bacteria	f_unclassified_k_norank_d_Bacteria	g_unclassified_k_norank_d_Bacteria
OTU1094	d_Bacteria	p_Desulfobacterota	c_Desulfuromonadia	o_PB19	f_norank_o_PB19	g_norank_f_norank_o_PB19
OTU1096	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_B2M28	f_norank_o_B2M28	g_norank_f_norank_o_B2M28
OTU1097	d_Bacteria	p_Acidobacteriota	c_Vicinamibacteria	o_Subgroup_9	f_norank_o_Subgroup_9	g_norank_f_norank_o_Subgroup_9
OTU1099	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Flavobacteriales	f_Flavobacteriaceae	g_Muriicola
OTU11	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfosarcinaceae	g_norank_f_Desulfosarcinaceae
OTU110	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Vibrionales	f_Vibrionaceae	g_Vibrio
OTU1100	d_Bacteria	p_Gemmatimonadota	c_AKAU4049	o_norank_c_AKAU4049	f_norank_o_norank_c_AKAU4049	g_norank_f_norank_o_norank_c_AKAU4049
OTU1104	d_Bacteria	p_Acidobacteriota	c_AT-s3-28	o_norank_c_AT-s3-28	f_norank_o_norank_c_AT-s3-28	g_norank_f_norank_o_norank_c_AT-s3-28
OTU1105	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfosarcinaceae	g_unclassified_f_Desulfosarcinaceae
OTU1107	d_Bacteria	p_Acidobacteriota	c_Holophagae	o_Acanthopleuribacterales	f_Acanthopleuribacteraceae	g_Thermotomaculum
OTU1108	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Vibrionales	f_Vibrionaceae	g_Photobacterium
OTU1109	d_Bacteria	p_NB1-j	c_norank_p_NB1-j	o_norank_c_norank_p_NB1-j	f_norank_o_norank_c_norank_p_NB1-j	g_norank_f_norank_o_norank_c_norank_p_NB1-j
OTU1111	d_Bacteria	p_unclassified_k_norank_d_Bacteria	c_unclassified_k_norank_d_Bacteria	o_unclassified_k_norank_d_Bacteria	f_unclassified_k_norank_d_Bacteria	g_unclassified_k_norank_d_Bacteria
OTU1112	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_DEV007	g_norank_f_DEV007
OTU1113	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Cellvibrionales	f_Halieaceae	g_unclassified_f_Halieaceae
OTU1115	d_Bacteria	p_Acidobacteriota	c_Vicinamibacteria	o_Vicinamibacterales	f_norank_o_Vicinamibacterales	g_norank_f_norank_o_Vicinamibacterales
OTU1116	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_DEV007	g_norank_f_DEV007
OTU1117	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_HOC36	f_norank_o_HOC36	g_norank_f_norank_o_HOC36
OTU1118	d_Bacteria	p_Acidobacteriota	c_Subgroup_22	o_norank_c_Subgroup_22	f_norank_o_norank_c_Subgroup_22	g_norank_f_norank_o_norank_c_Subgroup_22
OTU1119	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfosarcinaceae	g_Sva0081_sediment_group
OTU1120	d_Bacteria	p_Desulfobacterota	c_Desulfobulbia	o_Desulfobulbales	f_Desulfocapsaceae	g_norank_f_Desulfocapsaceae
OTU1121	d_Bacteria	p_Latescibacterota	c_norank_p_Latescibacterota	o_norank_c_norank_p_Latescibacterota	f_norank_o_norank_c_norank_p_Latescibacterota	g_norank_f_norank_o_norank_c_norank_p_Latescibacterota
OTU1122	d_Bacteria	p_Calditrichota	c_Calditrichia	o_Calditrichales	f_Calditrichaceae	g_norank_f_Calditrichaceae
OTU1123	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfosarcinaceae	g_Sva0081_sediment_group
OTU1124	d_Bacteria	p_Calditrichota	c_Calditrichia	o_Calditrichales	f_Calditrichaceae	g_norank_f_Calditrichaceae
OTU1125	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfosarcinaceae	g_unclassified_f_Desulfosarcinaceae
OTU1126	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_DEV007	g_norank_f_DEV007
OTU113	d_Bacteria	p_Acidobacteriota	c_Subgroup_22	o_norank_c_Subgroup_22	f_norank_o_norank_c_Subgroup_22	g_norank_f_norank_o_norank_c_Subgroup_22
OTU1131	d_Bacteria	p_Acidobacteriota	c_Subgroup_26	o_norank_c_Subgroup_26	f_norank_o_norank_c_Subgroup_26	g_norank_f_norank_o_norank_c_Subgroup_26
OTU1132	d_Bacteria	p_Acidobacteriota	c_unclassified_p_Acidobacteriota	o_unclassified_p_Acidobacteriota	f_unclassified_p_Acidobacteriota	g_unclassified_p_Acidobacteriota
OTU1133	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_DEV007	g_norank_f_DEV007
OTU1136	d_Bacteria	p_Nitrospinota	c_P9X2b3D02	o_norank_c_P9X2b3D02	f_norank_o_norank_c_P9X2b3D02	g_norank_f_norank_o_norank_c_P9X2b3D02
OTU1137	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Burkholderiales	f_Burkholderiaceae	g_Burkholderia-Caballeronia-Paraburkholderia
OTU114	d_Bacteria	p_Calditrichota	c_Calditrichia	o_Calditrichales	f_Calditrichaceae	g_JdFR-76
OTU1141	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Ga0077536	f_norank_o_Ga0077536	g_norank_f_norank_o_Ga0077536
OTU1145	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1147	d_Bacteria	p_Acidobacteriota	c_unclassified_p_Acidobacteriota	o_unclassified_p_Acidobacteriota	f_unclassified_p_Acidobacteriota	g_unclassified_p_Acidobacteriota
OTU1156	d_Bacteria	p_Acidobacteriota	c_d142	o_norank_c_d142	f_norank_o_norank_c_d142	g_norank_f_norank_o_norank_c_d142
OTU1164	d_Bacteria	p_Acidobacteriota	c_Vicinamibacteria	o_Subgroup_9	f_norank_o_Subgroup_9	g_norank_f_norank_o_Subgroup_9
OTU1166	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_DEV007	g_norank_f_DEV007
OTU1170	d_Bacteria	p_Planctomycetota	c_OM190	o_norank_c_OM190	f_norank_o_norank_c_OM190	g_norank_f_norank_o_norank_c_OM190
OTU1174	d_Bacteria	p_Desulfobacterota	c_norank_p_Desulfobacterota	o_norank_c_norank_p_Desulfobacterota	f_norank_o_norank_c_norank_p_Desulfobacterota	g_norank_f_norank_o_norank_c_norank_p_Desulfobacterota
OTU1176	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Pseudomonadaceae	g_Pseudomonas
OTU118	d_Bacteria	p_Myxococcota	c_Polyangia	o_UASB-TL25	f_norank_o_UASB-TL25	g_norank_f_norank_o_UASB-TL25
OTU1181	d_Bacteria	p_Acidobacteriota	c_Subgroup_22	o_norank_c_Subgroup_22	f_norank_o_norank_c_Subgroup_22	g_norank_f_norank_o_norank_c_Subgroup_22
OTU1186	d_Bacteria	p_NB1-j	c_norank_p_NB1-j	o_norank_c_norank_p_NB1-j	f_norank_o_norank_c_norank_p_NB1-j	g_norank_f_norank_o_norank_c_norank_p_NB1-j
OTU1189	d_Bacteria	p_Actinobacteriota	c_Acidimicrobiia	o_Microtrichales	f_Microtrichaceae	g_Sva0996_marine_group
OTU1195	d_Bacteria	p_Patescibacteria	c_Gracilibacteria	o_norank_c_Gracilibacteria	f_norank_o_norank_c_Gracilibacteria	g_norank_f_norank_o_norank_c_Gracilibacteria
OTU1196	d_Bacteria	p_Bdellovibrionota	c_Oligoflexia	o_Oligoflexales	f_norank_o_Oligoflexales	g_norank_f_norank_o_Oligoflexales
OTU12	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfococcaceae	g_Desulfococcus
OTU1206	d_Bacteria	p_NB1-j	c_norank_p_NB1-j	o_norank_c_norank_p_NB1-j	f_norank_o_norank_c_norank_p_NB1-j	g_norank_f_norank_o_norank_c_norank_p_NB1-j
OTU1208	d_Bacteria	p_Patescibacteria	c_Parcubacteria	o_Candidatus_Kaiserbacteria	f_norank_o_Candidatus_Kaiserbacteria	g_norank_f_norank_o_Candidatus_Kaiserbacteria
OTU1209	d_Bacteria	p_Dependentiae	c_Babeliae	o_Babeliales	f_Vermiphilaceae	g_norank_f_Vermiphilaceae
OTU1212	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Alteromonadales	f_Alteromonadaceae	g_unclassified_f_Alteromonadaceae
OTU1224	d_Bacteria	p_Latescibacterota	c_norank_p_Latescibacterota	o_norank_c_norank_p_Latescibacterota	f_norank_o_norank_c_norank_p_Latescibacterota	g_norank_f_norank_o_norank_c_norank_p_Latescibacterota
OTU1225	d_Bacteria	p_Desulfobacterota	c_Desulfobacteria	o_Desulfobacterales	f_Desulfosarcinaceae	g_LCP-80
OTU1226	d_Bacteria	p_Zixibacteria	c_norank_p_Zixibacteria	o_norank_c_norank_p_Zixibacteria	f_norank_o_norank_c_norank_p_Zixibacteria	g_norank_f_norank_o_norank_c_norank_p_Zixibacteria
OTU1227	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Burkholderiales	f_Burkholderiaceae	g_Ralstonia
OTU123	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Cytophagales	f_Amoebophilaceae	g_Candidatus_Amoebophilus
OTU1234	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_norank_c_Gammaproteobacteria	f_norank_o_norank_c_Gammaproteobacteria	g_norank_f_norank_o_norank_c_Gammaproteobacteria
OTU1235	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1239	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_unclassified_c_Gammaproteobacteria	f_unclassified_c_Gammaproteobacteria	g_unclassified_c_Gammaproteobacteria
OTU124	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Acinetobacter
OTU1240	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Cellvibrionales	f_Halieaceae	g_unclassified_f_Halieaceae
OTU1242	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Steroidobacterales	f_Woeseiaceae	g_JTB255_marine_benthic_group
OTU1243	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1244	d_Bacteria	p_Zixibacteria	c_norank_p_Zixibacteria	o_norank_c_norank_p_Zixibacteria	f_norank_o_norank_c_norank_p_Zixibacteria	g_norank_f_norank_o_norank_c_norank_p_Zixibacteria
OTU1246	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Nitrosococcales	f_Nitrosococcaceae	g_unclassified_f_Nitrosococcaceae
OTU1247	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Alteromonadales	f_Colwelliaceae	g_Thalassotalea
OTU1248	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Granulosicoccales	f_Granulosicoccaceae	g_Granulosicoccus
OTU1249	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Coxiellales	f_Coxiellaceae	g_Coxiella
OTU1251	d_Bacteria	p_Calditrichota	c_Calditrichia	o_Calditrichales	f_Calditrichaceae	g_unclassified_f_Calditrichaceae
OTU1255	d_Bacteria	p_Calditrichota	c_Calditrichia	o_Calditrichales	f_Calditrichaceae	g_Calorithrix
OTU1259	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU126	d_Bacteria	p_Acidobacteriota	c_Subgroup_22	o_norank_c_Subgroup_22	f_norank_o_norank_c_Subgroup_22	g_norank_f_norank_o_norank_c_Subgroup_22
OTU1268	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_DEV007	g_norank_f_DEV007
OTU1269	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Burkholderiales	f_Rhodocyclaceae	g_Denitromonas
OTU127	d_Bacteria	p_Bacteroidota	c_Bacteroidia	o_Cytophagales	f_Cyclobacteriaceae	g_unclassified_f_Cyclobacteriaceae
OTU1271	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1272	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Gammaproteobacteria_Incertae_Sedis	f_unclassified_o_Gammaproteobacteria_Incertae_Sedis	g_norank_f_unclassified
OTU1273	d_Bacteria	p_unclassified_k_norank_d_Bacteria	c_unclassified_k_norank_d_Bacteria	o_unclassified_k_norank_d_Bacteria	f_unclassified_k_norank_d_Bacteria	g_unclassified_k_norank_d_Bacteria
OTU1276	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Chromatiales	f_Chromatiaceae	g_Thiocapsa
OTU1278	d_Bacteria	p_Firmicutes	c_Bacilli	o_Alicyclobacillales	f_Alicyclobacillaceae	g_Tumebacillus
OTU1279	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Nitrosococcales	f_Nitrosococcaceae	g_unclassified_f_Nitrosococcaceae
OTU1280	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_SZB50	f_norank_o_SZB50	g_norank_f_norank_o_SZB50
OTU1281	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_DEV007	g_norank_f_DEV007
OTU1282	d_Bacteria	p_Verrucomicrobiota	c_Chlamydiae	o_Chlamydiales	f_unclassified_o_Chlamydiales	g_unclassified_o_Chlamydiales
OTU1283	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Thiohalorhabdales	f_Thiohalorhabdaceae	g_norank_f_Thiohalorhabdaceae
OTU1285	d_Bacteria	p_Calditrichota	c_Calditrichia	o_Calditrichales	f_Calditrichaceae	g_norank_f_Calditrichaceae
OTU1287	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_Rubritaleaceae	g_Haloferula
OTU1288	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Cellvibrionales	f_Halieaceae	g_unclassified_f_Halieaceae
OTU1289	d_Bacteria	p_Zixibacteria	c_norank_p_Zixibacteria	o_norank_c_norank_p_Zixibacteria	f_norank_o_norank_c_norank_p_Zixibacteria	g_norank_f_norank_o_norank_c_norank_p_Zixibacteria
OTU1290	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Cellvibrionales	f_Halieaceae	g_OM60NOR5_clade
OTU1294	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Ga0077536	f_norank_o_Ga0077536	g_norank_f_norank_o_Ga0077536
OTU1296	d_Bacteria	p_Spirochaetota	c_Spirochaetia	o_Spirochaetales	f_Spirochaetaceae	g_Spirochaeta_2
OTU1297	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1300	d_Bacteria	p_Planctomycetota	c_OM190	o_norank_c_OM190	f_norank_o_norank_c_OM190	g_norank_f_norank_o_norank_c_OM190
OTU1301	d_Bacteria	p_Firmicutes	c_Bacilli	o_Exiguobacterales	f_Exiguobacteraceae	g_Exiguobacterium
OTU1304	d_Bacteria	p_Calditrichota	c_Calditrichia	o_Calditrichales	f_Calditrichaceae	g_norank_f_Calditrichaceae
OTU1305	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Alteromonadales	f_Shewanellaceae	g_Shewanella
OTU1306	d_Bacteria	p_Acidobacteriota	c_Thermoanaerobaculia	o_Thermoanaerobaculales	f_Thermoanaerobaculaceae	g_Subgroup_10
OTU1307	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Vibrionales	f_Vibrionaceae	g_Photobacterium
OTU1308	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_unclassified_c_Gammaproteobacteria	f_unclassified_c_Gammaproteobacteria	g_unclassified_c_Gammaproteobacteria
OTU1309	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_DEV007	g_norank_f_DEV007
OTU1310	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Arenicellales	f_Arenicellaceae	g_norank_f_Arenicellaceae
OTU1314	d_Bacteria	p_Acidobacteriota	c_Vicinamibacteria	o_Subgroup_17	f_norank_o_Subgroup_17	g_norank_f_norank_o_Subgroup_17
OTU1316	d_Bacteria	p_Verrucomicrobiota	c_Verrucomicrobiae	o_Verrucomicrobiales	f_Rubritaleaceae	g_Roseibacillus
OTU1318	d_Bacteria	p_Zixibacteria	c_norank_p_Zixibacteria	o_norank_c_norank_p_Zixibacteria	f_norank_o_norank_c_norank_p_Zixibacteria	g_norank_f_norank_o_norank_c_norank_p_Zixibacteria
OTU1319	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_B2M28	f_norank_o_B2M28	g_norank_f_norank_o_B2M28
OTU132	d_Bacteria	p_Latescibacterota	c_Latescibacteria	o_Latescibacterales	f_Latescibacteraceae	g_norank_f_Latescibacteraceae
OTU1321	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Gammaproteobacteria_Incertae_Sedis	f_unclassified_o_Gammaproteobacteria_Incertae_Sedis	g_norank_f_unclassified
OTU1324	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Thiohalorhabdales	f_Thiohalorhabdaceae	g_norank_f_Thiohalorhabdaceae
OTU1328	d_Bacteria	p_Dependentiae	c_Babeliae	o_Babeliales	f_Vermiphilaceae	g_norank_f_Vermiphilaceae
OTU1330	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_EPR3968-O8a-Bc78	f_norank_o_EPR3968-O8a-Bc78	g_norank_f_norank_o_EPR3968-O8a-Bc78
OTU1332	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Chromatiales	f_Sedimenticolaceae	g_Sedimenticola
OTU1333	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Burkholderiales	f_Comamonadaceae	g_Hydrogenophaga
OTU1336	d_Bacteria	p_unclassified_k_norank_d_Bacteria	c_unclassified_k_norank_d_Bacteria	o_unclassified_k_norank_d_Bacteria	f_unclassified_k_norank_d_Bacteria	g_unclassified_k_norank_d_Bacteria
OTU1337	d_Bacteria	p_Actinobacteriota	c_Actinobacteria	o_Propionibacteriales	f_Nocardioidaceae	g_Marmoricola
OTU1338	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Thiohalorhabdales	f_Thiohalorhabdaceae	g_norank_f_Thiohalorhabdaceae
OTU1339	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Vibrionales	f_Vibrionaceae	g_Vibrio
OTU134	d_Bacteria	p_Gemmatimonadota	c_S0134_terrestrial_group	o_norank_c_S0134_terrestrial_group	f_norank_o_norank_c_S0134_terrestrial_group	g_norank_f_norank_o_norank_c_S0134_terrestrial_group
OTU1342	d_Bacteria	p_Hydrogenedentes	c_Hydrogenedentia	o_Hydrogenedentiales	f_Hydrogenedensaceae	g_norank_f_Hydrogenedensaceae
OTU1345	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Vibrionales	f_Vibrionaceae	g_Photobacterium
OTU1351	d_Bacteria	p_Dependentiae	c_Babeliae	o_Babeliales	f_norank_o_Babeliales	g_norank_f_norank_o_Babeliales
OTU1352	d_Bacteria	p_Patescibacteria	c_Gracilibacteria	o_Candidatus_Peribacteria	f_norank_o_Candidatus_Peribacteria	g_norank_f_norank_o_Candidatus_Peribacteria
OTU1356	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_unclassified_c_Gammaproteobacteria	f_unclassified_c_Gammaproteobacteria	g_unclassified_c_Gammaproteobacteria
OTU1357	d_Bacteria	p_Desulfobacterota	c_Syntrophobacteria	o_Syntrophobacterales	f_norank_o_Syntrophobacterales	g_norank_f_norank_o_Syntrophobacterales
OTU1359	d_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Gammaproteobacteria_Incertae_Sedis	f_unclassified_o_Gammaproteobacteria_Incertae_Sedis	g_Marinicella
OTU1364	d_Bacteria	p_Patescibacteria	c_Parcubacteria	o_Candidatus_Colwellbacteria	f_norank_o_Candidatus_Colwellbacteria	g_norank_f_norank_o_Candidatus_Colwellbacteria
