Proportion.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
0.05	0.0034375	0.00127577590769957	0.000127577590769957	weighted	Yes	D12C
0.1	0.00296875	0.00167669803121456	0.000167669803121456	weighted	Yes	D12C
0.15	0.00265625	0.00183135223539903	0.000183135223539903	weighted	Yes	D12C
0.2	0.0026171875	0.00184602172900493	0.000184602172900493	weighted	Yes	D12C
0.25	0.0023828125	0.00191487160156327	0.000191487160156327	weighted	Yes	D12C
0.3	0.0028125	0.00176273773380552	0.000176273773380552	weighted	Yes	D12C
0.35	0.0022265625	0.00194363223420407	0.000194363223420407	weighted	Yes	D12C
0.4	0.00203125	0.00196139348269015	0.000196139348269015	weighted	Yes	D12C
0.45	0.00203125	0.00196139348269015	0.000196139348269015	weighted	Yes	D12C
0.5	0.0023046875	0.00193090261884262	0.000193090261884262	weighted	Yes	D12C
0.55	0.0024609375	0.00189545541833558	0.000189545541833558	weighted	Yes	D12C
0.6	0.0024609375	0.00189545541833558	0.000189545541833558	weighted	Yes	D12C
0.65	0.0022265625	0.00194363223420407	0.000194363223420407	weighted	Yes	D12C
0.7	0.0018359375	0.0019594279611195	0.00019594279611195	weighted	Yes	D12C
0.75	0.0019140625	0.00196257185076442	0.000196257185076442	weighted	Yes	D12C
0.8	0.001953125	0.00196296448292815	0.000196296448292815	weighted	Yes	D12C
0.85	0.0021875	0.00194877988894476	0.000194877988894476	weighted	Yes	D12C
0.9	0.0019140625	0.00196257185076442	0.000196257185076442	weighted	Yes	D12C
0.95	0.0019140625	0.00196257185076442	0.000196257185076442	weighted	Yes	D12C
1	0	0	0	weighted	Yes	D12C
0.05	0.00359375	0.00106507782946989	0.000106507782946989	unweighted	Yes	D12C
0.1	0.0030859375	0.00159906320601692	0.000159906320601692	unweighted	Yes	D12C
0.15	0.002890625	0.00172204688389378	0.000172204688389378	unweighted	Yes	D12C
0.2	0.0026953125	0.0018157156199677	0.00018157156199677	unweighted	Yes	D12C
0.25	0.0025	0.00188444590361102	0.000188444590361102	unweighted	Yes	D12C
0.3	0.0023828125	0.00191487160156327	0.000191487160156327	unweighted	Yes	D12C
0.35	0.002421875	0.00190559270005689	0.000190559270005689	unweighted	Yes	D12C
0.4	0.0020703125	0.0019594279611195	0.00019594279611195	unweighted	Yes	D12C
0.45	0.0019140625	0.00196257185076442	0.000196257185076442	unweighted	Yes	D12C
0.5	0.0019140625	0.00196257185076442	0.000196257185076442	unweighted	Yes	D12C
0.55	0.0016796875	0.00194363223420407	0.000194363223420407	unweighted	Yes	D12C
0.6	0.0022265625	0.00194363223420407	0.000194363223420407	unweighted	Yes	D12C
0.65	0.0023046875	0.00193090261884262	0.000193090261884262	unweighted	Yes	D12C
0.7	0.0023046875	0.00193090261884262	0.000193090261884262	unweighted	Yes	D12C
0.75	0.00203125	0.00196139348269015	0.000196139348269015	unweighted	Yes	D12C
0.8	0.001796875	0.00195667291391419	0.000195667291391419	unweighted	Yes	D12C
0.85	0.0019921875	0.00196257185076442	0.000196257185076442	unweighted	Yes	D12C
0.9	0.0020703125	0.0019594279611195	0.00019594279611195	unweighted	Yes	D12C
0.95	0.0019921875	0.00196257185076442	0.000196257185076442	unweighted	Yes	D12C
1	0	0	0	unweighted	Yes	D12C
0.05	0.7915625	0.0104686204386676	0.00104686204386676	weighted	No	D12C
0.1	0.7370703125	0.0144322082811475	0.00144322082811475	weighted	No	D12C
0.15	0.6905078125	0.0159167734947777	0.00159167734947777	weighted	No	D12C
0.2	0.638046875	0.0158912371353696	0.00158912371353696	weighted	No	D12C
0.25	0.5886328125	0.0212993496222307	0.00212993496222307	weighted	No	D12C
0.3	0.5396484375	0.0169804937521673	0.00169804937521673	weighted	No	D12C
0.35	0.4902734375	0.0248079883148354	0.00248079883148354	weighted	No	D12C
0.4	0.4434765625	0.0232092141408227	0.00232092141408227	weighted	No	D12C
0.45	0.392734375	0.0194436165329246	0.00194436165329246	weighted	No	D12C
0.5	0.352578125	0.0205774112850123	0.00205774112850123	weighted	No	D12C
0.55	0.304921875	0.0229377754452539	0.00229377754452539	weighted	No	D12C
0.6	0.260625	0.0232399078305449	0.00232399078305449	weighted	No	D12C
0.65	0.223671875	0.0212190558917866	0.00212190558917866	weighted	No	D12C
0.7	0.1769140625	0.0207168187750204	0.00207168187750204	weighted	No	D12C
0.75	0.1364453125	0.0216122657004077	0.00216122657004077	weighted	No	D12C
0.8	0.097890625	0.0162423420062457	0.00162423420062457	weighted	No	D12C
0.85	0.065625	0.0139467210573404	0.00139467210573404	weighted	No	D12C
0.9	0.0336328125	0.0140666095110669	0.00140666095110669	weighted	No	D12C
0.95	0.0103125	0.00712142304551428	0.000712142304551428	weighted	No	D12C
1	0	0	0	weighted	No	D12C
0.05	0.7956640625	0.00981788416167606	0.000981788416167606	unweighted	No	D12C
0.1	0.7396484375	0.015096970840112	0.0015096970840112	unweighted	No	D12C
0.15	0.6930078125	0.0162259646298272	0.00162259646298272	unweighted	No	D12C
0.2	0.6419140625	0.0208633114688786	0.00208633114688786	unweighted	No	D12C
0.25	0.5925	0.0207731730810389	0.00207731730810389	unweighted	No	D12C
0.3	0.5426171875	0.0204230960496444	0.00204230960496444	unweighted	No	D12C
0.35	0.4904296875	0.0208361074739169	0.00208361074739169	unweighted	No	D12C
0.4	0.4498046875	0.0200212754652526	0.00200212754652526	unweighted	No	D12C
0.45	0.39734375	0.0233193571170178	0.00233193571170178	unweighted	No	D12C
0.5	0.353125	0.020602712648239	0.0020602712648239	unweighted	No	D12C
0.55	0.3048046875	0.02304928242434	0.002304928242434	unweighted	No	D12C
0.6	0.2623828125	0.0198797429060482	0.00198797429060482	unweighted	No	D12C
0.65	0.221171875	0.0212419968310854	0.00212419968310854	unweighted	No	D12C
0.7	0.1783203125	0.0166875073150733	0.00166875073150733	unweighted	No	D12C
0.75	0.1387890625	0.0195545552245705	0.00195545552245705	unweighted	No	D12C
0.8	0.0951953125	0.0194296203736813	0.00194296203736813	unweighted	No	D12C
0.85	0.0621484375	0.0169870278180181	0.00169870278180181	unweighted	No	D12C
0.9	0.0353125	0.011828974469283	0.0011828974469283	unweighted	No	D12C
0.95	0.0116796875	0.0073760463740982	0.00073760463740982	unweighted	No	D12C
1	0	0	0	unweighted	No	D12C
