Number.hub.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
6	0.830078125	0.0128240335960887	0.00128240335960887	unweighted	No	D12C
7	0.828125	0.0129257894836351	0.00129257894836351	unweighted	No	D12C
8	0.8251953125	0.0133985807180481	0.00133985807180481	unweighted	No	D12C
9	0.821953125	0.0155773816696256	0.00155773816696256	unweighted	No	D12C
10	0.8175	0.0158995760914046	0.00158995760914046	unweighted	No	D12C
11	0.815078125	0.0160552735852066	0.00160552735852066	unweighted	No	D12C
12	0.81140625	0.0186064183670785	0.00186064183670785	unweighted	No	D12C
13	0.80859375	0.0171577020162531	0.00171577020162531	unweighted	No	D12C
14	0.8060546875	0.0195460408010596	0.00195460408010596	unweighted	No	D12C
15	0.802578125	0.0185926624119577	0.00185926624119577	unweighted	No	D12C
16	0.799296875	0.0185375365143833	0.00185375365143833	unweighted	No	D12C
17	0.7960546875	0.0207539844844679	0.00207539844844679	unweighted	No	D12C
18	0.78796875	0.0190241946231793	0.00190241946231794	unweighted	No	D12C
19	0.78703125	0.0185516656729908	0.00185516656729908	unweighted	No	D12C
20	0.7853515625	0.020500530438117	0.0020500530438117	unweighted	No	D12C
21	0.779296875	0.0199528363464207	0.00199528363464207	unweighted	No	D12C
22	0.7736328125	0.0204252090465476	0.00204252090465476	unweighted	No	D12C
23	0.7717578125	0.0193310047369666	0.00193310047369666	unweighted	No	D12C
24	0.7676171875	0.018368103851245	0.0018368103851245	unweighted	No	D12C
25	0.767265625	0.0162457578111708	0.00162457578111708	unweighted	No	D12C
26	0.7593359375	0.0160425486616791	0.00160425486616791	unweighted	No	D12C
27	0.7540234375	0.013536828517272	0.0013536828517272	unweighted	No	D12C
28	0.7525390625	0.0116246617461582	0.00116246617461582	unweighted	No	D12C
29	0.7472265625	0.00924545852268374	0.000924545852268374	unweighted	No	D12C
30	0.7421875	0	0	unweighted	No	D12C
1	0.00390625	0	0	weighted	Yes	D12C
2	0.00390625	0	0	weighted	Yes	D12C
3	0.00390625	0	0	weighted	Yes	D12C
4	0.00390625	0	0	weighted	Yes	D12C
5	0.00390625	0	0	weighted	Yes	D12C
6	0.00390625	0	0	weighted	Yes	D12C
7	0.00390625	0	0	weighted	Yes	D12C
8	0.00390625	0	0	weighted	Yes	D12C
9	0.00390625	0	0	weighted	Yes	D12C
10	0.00390625	0	0	weighted	Yes	D12C
11	0.00390625	0	0	weighted	Yes	D12C
12	0.00390625	0	0	weighted	Yes	D12C
13	0.00390625	0	0	weighted	Yes	D12C
14	0.00390625	0	0	weighted	Yes	D12C
15	0.00390625	0	0	weighted	Yes	D12C
16	0.00390625	0	0	weighted	Yes	D12C
17	0.00390625	0	0	weighted	Yes	D12C
18	0.00390625	0	0	weighted	Yes	D12C
19	0.00390625	0	0	weighted	Yes	D12C
20	0.00390625	0	0	weighted	Yes	D12C
21	0.00390625	0	0	weighted	Yes	D12C
22	0.00390625	0	0	weighted	Yes	D12C
23	0.00390625	0	0	weighted	Yes	D12C
24	0.00390625	0	0	weighted	Yes	D12C
25	0.00390625	0	0	weighted	Yes	D12C
26	0.00390625	0	0	weighted	Yes	D12C
27	0.00390625	0	0	weighted	Yes	D12C
28	0.00390625	0	0	weighted	Yes	D12C
29	0.00390625	0	0	weighted	Yes	D12C
30	0.00390625	0	0	weighted	Yes	D12C
1	0.00390625	0	0	unweighted	Yes	D12C
2	0.00390625	0	0	unweighted	Yes	D12C
3	0.00390625	0	0	unweighted	Yes	D12C
4	0.00390625	0	0	unweighted	Yes	D12C
5	0.00390625	0	0	unweighted	Yes	D12C
6	0.00390625	0	0	unweighted	Yes	D12C
7	0.00390625	0	0	unweighted	Yes	D12C
8	0.00390625	0	0	unweighted	Yes	D12C
9	0.00390625	0	0	unweighted	Yes	D12C
10	0.00390625	0	0	unweighted	Yes	D12C
11	0.00390625	0	0	unweighted	Yes	D12C
12	0.00390625	0	0	unweighted	Yes	D12C
13	0.00390625	0	0	unweighted	Yes	D12C
14	0.00390625	0	0	unweighted	Yes	D12C
15	0.00390625	0	0	unweighted	Yes	D12C
16	0.00390625	0	0	unweighted	Yes	D12C
17	0.00390625	0	0	unweighted	Yes	D12C
18	0.00390625	0	0	unweighted	Yes	D12C
19	0.00390625	0	0	unweighted	Yes	D12C
20	0.00390625	0	0	unweighted	Yes	D12C
21	0.00390625	0	0	unweighted	Yes	D12C
22	0.00390625	0	0	unweighted	Yes	D12C
23	0.00390625	0	0	unweighted	Yes	D12C
24	0.00390625	0	0	unweighted	Yes	D12C
25	0.00390625	0	0	unweighted	Yes	D12C
26	0.00390625	0	0	unweighted	Yes	D12C
27	0.00390625	0	0	unweighted	Yes	D12C
28	0.00390625	0	0	unweighted	Yes	D12C
29	0.00390625	0	0	unweighted	Yes	D12C
30	0.00390625	0	0	unweighted	Yes	D12C
1	0.8415625	0.00445277194905634	0.000445277194905634	weighted	No	D12C
2	0.83875	0.00605866372166105	0.000605866372166105	weighted	No	D12C
3	0.83546875	0.00849816272664482	0.000849816272664482	weighted	No	D12C
4	0.8327734375	0.00981788416167606	0.000981788416167606	weighted	No	D12C
5	0.83125	0.0112832045405232	0.00112832045405232	weighted	No	D12C
6	0.8275	0.0124114008116458	0.00124114008116458	weighted	No	D12C
7	0.823515625	0.0122446193701385	0.00122446193701385	weighted	No	D12C
8	0.822890625	0.013211436385689	0.0013211436385689	weighted	No	D12C
9	0.8186328125	0.0139052724056279	0.00139052724056279	weighted	No	D12C
10	0.8146484375	0.0160183194025714	0.00160183194025714	weighted	No	D12C
11	0.8090234375	0.0162145619160841	0.00162145619160841	weighted	No	D12C
12	0.81	0.0173765713990378	0.00173765713990378	weighted	No	D12C
13	0.805234375	0.0183052726779062	0.00183052726779062	weighted	No	D12C
14	0.8016015625	0.0170883471341435	0.00170883471341434	weighted	No	D12C
15	0.7985546875	0.0179673346362863	0.00179673346362863	weighted	No	D12C
16	0.7950390625	0.0170446366136353	0.00170446366136353	weighted	No	D12C
17	0.7898828125	0.0200514299750898	0.00200514299750898	weighted	No	D12C
18	0.7833984375	0.0201975595963522	0.00201975595963522	weighted	No	D12C
19	0.7805859375	0.0195514021667198	0.00195514021667198	weighted	No	D12C
20	0.7778515625	0.0197131288486058	0.00197131288486058	weighted	No	D12C
21	0.7716015625	0.020673324631177	0.0020673324631177	weighted	No	D12C
22	0.773671875	0.0202238315784937	0.00202238315784937	weighted	No	D12C
23	0.767734375	0.0200754365191952	0.00200754365191952	weighted	No	D12C
24	0.7649609375	0.018204249407116	0.0018204249407116	weighted	No	D12C
25	0.76375	0.0169541959438072	0.00169541959438072	weighted	No	D12C
26	0.757109375	0.0158052653804624	0.00158052653804624	weighted	No	D12C
27	0.75234375	0.0145418443919851	0.00145418443919851	weighted	No	D12C
28	0.7494921875	0.0149871277727079	0.00149871277727079	weighted	No	D12C
29	0.74296875	0.0094385733803265	0.00094385733803265	weighted	No	D12C
30	0.73828125	0	0	weighted	No	D12C
1	0.8450390625	0.00487368939380544	0.000487368939380544	unweighted	No	D12C
2	0.8418359375	0.00768309414144667	0.000768309414144667	unweighted	No	D12C
3	0.8399609375	0.00801610862295534	0.000801610862295534	unweighted	No	D12C
4	0.83671875	0.0105781750060364	0.00105781750060364	unweighted	No	D12C
5	0.8333203125	0.00999463178097833	0.000999463178097833	unweighted	No	D12C
6	0.830078125	0.0128240335960887	0.00128240335960887	unweighted	No	D12C
7	0.828125	0.0129257894836351	0.00129257894836351	unweighted	No	D12C
8	0.8251953125	0.0133985807180481	0.00133985807180481	unweighted	No	D12C
9	0.821953125	0.0155773816696256	0.00155773816696256	unweighted	No	D12C
10	0.8175	0.0158995760914046	0.00158995760914046	unweighted	No	D12C
11	0.815078125	0.0160552735852066	0.00160552735852066	unweighted	No	D12C
12	0.81140625	0.0186064183670785	0.00186064183670785	unweighted	No	D12C
13	0.80859375	0.0171577020162531	0.00171577020162531	unweighted	No	D12C
14	0.8060546875	0.0195460408010596	0.00195460408010596	unweighted	No	D12C
15	0.802578125	0.0185926624119577	0.00185926624119577	unweighted	No	D12C
16	0.799296875	0.0185375365143833	0.00185375365143833	unweighted	No	D12C
17	0.7960546875	0.0207539844844679	0.00207539844844679	unweighted	No	D12C
18	0.78796875	0.0190241946231793	0.00190241946231794	unweighted	No	D12C
19	0.78703125	0.0185516656729908	0.00185516656729908	unweighted	No	D12C
20	0.7853515625	0.020500530438117	0.0020500530438117	unweighted	No	D12C
21	0.779296875	0.0199528363464207	0.00199528363464207	unweighted	No	D12C
22	0.7736328125	0.0204252090465476	0.00204252090465476	unweighted	No	D12C
23	0.7717578125	0.0193310047369666	0.00193310047369666	unweighted	No	D12C
24	0.7676171875	0.018368103851245	0.0018368103851245	unweighted	No	D12C
25	0.767265625	0.0162457578111708	0.00162457578111708	unweighted	No	D12C
26	0.7593359375	0.0160425486616791	0.00160425486616791	unweighted	No	D12C
27	0.7540234375	0.013536828517272	0.0013536828517272	unweighted	No	D12C
28	0.7525390625	0.0116246617461582	0.00116246617461582	unweighted	No	D12C
29	0.7472265625	0.00924545852268374	0.000924545852268374	unweighted	No	D12C
30	0.7421875	0	0	unweighted	No	D12C
