Proportion.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
0.05	0.00169014084507042	0.00302277954923189	0.000302277954923189	weighted	Yes	D30M
0.1	0.0023943661971831	0.00335278329978538	0.000335278329978538	weighted	Yes	D30M
0.15	0.00302816901408451	0.00350401304194537	0.000350401304194537	weighted	Yes	D30M
0.2	0.00373239436619718	0.00353248984539853	0.000353248984539853	weighted	Yes	D30M
0.25	0.00422535211267606	0.0034673659430798	0.00034673659430798	weighted	Yes	D30M
0.3	0.00450704225352113	0.00339731092481987	0.000339731092481987	weighted	Yes	D30M
0.35	0.00380281690140845	0.00352752299973263	0.000352752299973263	weighted	Yes	D30M
0.4	0.00429577464788732	0.00345216288732533	0.000345216288732533	weighted	Yes	D30M
0.45	0.00457746478873239	0.00337586257352889	0.000337586257352889	weighted	Yes	D30M
0.5	0.00408450704225352	0.00349327439259759	0.000349327439259759	weighted	Yes	D30M
0.55	0.00352112676056338	0.00353886554668737	0.000353886554668737	weighted	Yes	D30M
0.6	0.00366197183098592	0.00353603332090618	0.000353603332090618	weighted	Yes	D30M
0.65	0.00394366197183099	0.0035132933209145	0.00035132933209145	weighted	Yes	D30M
0.7	0.00330985915492958	0.00353248984539853	0.000353248984539853	weighted	Yes	D30M
0.75	0.00408450704225352	0.00349327439259759	0.000349327439259759	weighted	Yes	D30M
0.8	0.00309859154929577	0.0035132933209145	0.00035132933209145	weighted	Yes	D30M
0.85	0.00330985915492958	0.00353248984539853	0.000353248984539853	weighted	Yes	D30M
0.9	0.00401408450704225	0.00350401304194537	0.000350401304194537	weighted	Yes	D30M
0.95	0.0021830985915493	0.0032734028078291	0.00032734028078291	weighted	Yes	D30M
1	0	0	0	weighted	Yes	D30M
0.05	0.00183098591549296	0.00310453522730147	0.000310453522730147	unweighted	Yes	D30M
0.1	0.0021830985915493	0.0032734028078291	0.00032734028078291	unweighted	Yes	D30M
0.15	0.00323943661971831	0.00352752299973263	0.000352752299973263	unweighted	Yes	D30M
0.2	0.00359154929577465	0.00353815770278656	0.000353815770278656	unweighted	Yes	D30M
0.25	0.00422535211267606	0.0034673659430798	0.00034673659430798	unweighted	Yes	D30M
0.3	0.00408450704225352	0.00349327439259759	0.000349327439259759	unweighted	Yes	D30M
0.35	0.00387323943661972	0.00352112676056338	0.000352112676056338	unweighted	Yes	D30M
0.4	0.00401408450704225	0.00350401304194537	0.000350401304194537	unweighted	Yes	D30M
0.45	0.00366197183098592	0.00353603332090618	0.000353603332090618	unweighted	Yes	D30M
0.5	0.00380281690140845	0.00352752299973263	0.000352752299973263	unweighted	Yes	D30M
0.55	0.00316901408450704	0.00352112676056338	0.000352112676056338	unweighted	Yes	D30M
0.6	0.00345070422535211	0.00353815770278656	0.000353815770278656	unweighted	Yes	D30M
0.65	0.00345070422535211	0.00353815770278656	0.000353815770278656	unweighted	Yes	D30M
0.7	0.00316901408450704	0.00352112676056338	0.000352112676056338	unweighted	Yes	D30M
0.75	0.00352112676056338	0.00353886554668737	0.000353886554668737	unweighted	Yes	D30M
0.8	0.00359154929577465	0.00353815770278656	0.000353815770278656	unweighted	Yes	D30M
0.85	0.0028169014084507	0.0034673659430798	0.00034673659430798	unweighted	Yes	D30M
0.9	0.00394366197183099	0.0035132933209145	0.00035132933209145	unweighted	Yes	D30M
0.95	0.00169014084507042	0.00302277954923189	0.000302277954923189	unweighted	Yes	D30M
1	0	0	0	unweighted	Yes	D30M
0.05	0.466901408450704	0.0160619279280271	0.00160619279280271	weighted	No	D30M
0.1	0.428591549295775	0.0243749496006092	0.00243749496006092	weighted	No	D30M
0.15	0.401197183098592	0.0262058668758983	0.00262058668758983	weighted	No	D30M
0.2	0.363802816901408	0.0267125986273453	0.00267125986273453	weighted	No	D30M
0.25	0.332253521126761	0.027979516256844	0.0027979516256844	weighted	No	D30M
0.3	0.304225352112676	0.0324959592599911	0.00324959592599911	weighted	No	D30M
0.35	0.267887323943662	0.0307359385978083	0.00307359385978083	weighted	No	D30M
0.4	0.243521126760563	0.0340346886805683	0.00340346886805683	weighted	No	D30M
0.45	0.213450704225352	0.0281635896043248	0.00281635896043248	weighted	No	D30M
0.5	0.188098591549296	0.0251691720752511	0.00251691720752511	weighted	No	D30M
0.55	0.154647887323944	0.031476731989264	0.0031476731989264	weighted	No	D30M
0.6	0.123450704225352	0.0287926241704166	0.00287926241704166	weighted	No	D30M
0.65	0.108732394366197	0.0249095916859446	0.00249095916859446	weighted	No	D30M
0.7	0.0854225352112676	0.0253152345553288	0.00253152345553288	weighted	No	D30M
0.75	0.0613380281690141	0.0203241826960165	0.00203241826960165	weighted	No	D30M
0.8	0.0388732394366197	0.0181686887406203	0.00181686887406203	weighted	No	D30M
0.85	0.026056338028169	0.0138513928020749	0.00138513928020749	weighted	No	D30M
0.9	0.0104225352112676	0.0082830623786313	0.00082830623786313	weighted	No	D30M
0.95	0.0026056338028169	0.00486822376767866	0.000486822376767866	weighted	No	D30M
1	0	0	0	weighted	No	D30M
0.05	0.467535211267606	0.0177055070170264	0.00177055070170264	unweighted	No	D30M
0.1	0.437464788732394	0.0204466819244795	0.00204466819244796	unweighted	No	D30M
0.15	0.400985915492958	0.0262701123634512	0.00262701123634512	unweighted	No	D30M
0.2	0.372605633802817	0.0297953985573092	0.00297953985573092	unweighted	No	D30M
0.25	0.330352112676056	0.0328957682934718	0.00328957682934718	unweighted	No	D30M
0.3	0.30056338028169	0.0311561690573466	0.00311561690573466	unweighted	No	D30M
0.35	0.268169014084507	0.0310240456554496	0.00310240456554496	unweighted	No	D30M
0.4	0.242394366197183	0.0312091828255779	0.00312091828255779	unweighted	No	D30M
0.45	0.212183098591549	0.0325676395438132	0.00325676395438132	unweighted	No	D30M
0.5	0.19	0.0303267356618891	0.00303267356618891	unweighted	No	D30M
0.55	0.153450704225352	0.0290669068479727	0.00290669068479727	unweighted	No	D30M
0.6	0.134084507042254	0.0288181014112235	0.00288181014112235	unweighted	No	D30M
0.65	0.105352112676056	0.0266318384188298	0.00266318384188298	unweighted	No	D30M
0.7	0.082112676056338	0.0238178008080026	0.00238178008080026	unweighted	No	D30M
0.75	0.0606338028169014	0.0208016672171647	0.00208016672171647	unweighted	No	D30M
0.8	0.0423239436619718	0.0202055277493008	0.00202055277493008	unweighted	No	D30M
0.85	0.0261971830985916	0.014403834885356	0.0014403834885356	unweighted	No	D30M
0.9	0.0123943661971831	0.010114966743558	0.0010114966743558	unweighted	No	D30M
0.95	0.00232394366197183	0.00375253266283023	0.000375253266283023	unweighted	No	D30M
1	0	0	0	unweighted	No	D30M
